BASMID,EDCPUB,SPUBCHOIX,SCONSIDR,SEENJOY,SEGRADES,SEABSNT,SEFUTUREX,SEGRADEQ,FSSPORTX,FSVOL,FSMTNG,FSPTMTNG,FSATCNFN,FSFUNDRS,FSCOMMTE,FSCOUNSLR,FSFREQ,FSNOTESX,FSMEMO,FCSCHOOL,FCTEACHR,FCSTDS,FCORDER,FCSUPPRT,FHHOME,FHWKHRS,FHAMOUNT,FHCAMT,FHPLACE,FHCHECKX,FHHELP,FOSTORY2X,FOCRAFTS,FOGAMES,FOBUILDX,FOSPORT,FORESPON,FOHISTX,FODINNERX,FOLIBRAYX,FOBOOKSTX,HDHEALTH,CDOBMM,CDOBYY,CSEX,CSPEAKX,HHTOTALXX,RELATION,P1REL,P1SEX,P1MRSTA,P1EMPL,P1HRSWK,P1MTHSWRK,P1AGE,P2GUARD,TTLHHINC,OWNRNTHB,DSBLTY,HHPARN16X,HHPARN16_BRD,NUMSIBSX,PARGRADEX,RACEETHN,INTACC,ALLGRADEX,CENREG,ZIPLOCL
20161000013,1,1,2,1,1,0,5,2,1,1,1,1,1,1,2,2,6,1,1,1,1,2,1,1,4,10,1,1,1,4,2,2,1,2,1,1,1,2,6,1,2,2,3,2007,1,2,4,1,1,2,1,1,15,10,47,1,10,2,2,1,1,1,4,4,1,3,4,21
20161000017,1,2,2,1,2,0,6,3,1,1,1,1,1,1,2,1,10,1,1,1,1,1,1,1,3,4,1,1,1,4,2,1,2,1,2,1,1,1,5,2,2,2,7,2001,1,3,4,1,1,2,1,1,40,12,46,1,6,1,2,1,1,1,3,3,1,9,3,13
20161000050,1,2,2,1,5,5,6,3,1,1,1,1,1,2,2,2,3,1,1,2,1,1,1,1,3,4,1,1,1,4,3,1,1,1,2,1,2,1,7,1,2,1,11,2008,1,2,5,1,1,2,1,5,-1,0,28,1,6,2,2,1,1,2,4,3,1,1,2,21
20161000058,1,1,2,2,1,1,5,1,1,2,1,1,1,2,2,2,10,1,1,2,2,2,2,2,4,6,1,2,1,3,1,2,1,2,2,1,1,1,5,2,2,2,1,2001,2,2,4,2,1,1,1,1,50,12,51,1,9,1,2,1,1,1,4,1,1,9,3,21
20161000064,1,2,2,2,2,2,5,2,1,2,2,2,2,2,2,2,3,2,2,2,2,2,2,3,3,6,1,2,2,1,5,1,2,2,2,2,1,1,4,2,1,1,1,2000,2,2,4,1,1,2,5,1,45,12,42,1,8,1,2,1,1,1,3,3,1,10,2,11
20161000065,1,1,2,2,1,3,4,1,1,2,1,1,2,2,2,2,1,1,1,1,1,1,2,3,5,-1,-1,-1,-1,-1,-1,1,2,2,2,1,2,2,0,2,2,1,11,1999,1,2,5,2,1,1,3,1,50,12,49,2,4,1,2,3,2,1,1,1,3,10,2,41
20161000096,1,2,2,2,3,0,3,3,1,1,1,2,2,1,2,1,20,2,1,2,1,2,2,1,4,10,1,1,1,4,1,1,1,2,1,1,1,2,4,2,2,2,9,2000,1,2,6,1,1,2,5,1,40,12,43,2,5,1,2,2,2,1,3,3,1,10,4,31
20161000120,1,1,1,2,1,4,5,2,1,2,1,2,1,2,2,1,3,2,1,2,2,2,2,3,3,1,3,1,1,3,1,2,2,1,2,1,2,2,7,2,1,2,3,2001,2,2,3,2,2,1,1,1,40,12,55,1,9,1,1,1,1,0,5,3,1,9,4,12
20161000130,1,3,2,2,3,3,5,3,1,2,1,1,1,1,2,1,15,1,1,2,2,1,1,1,3,4,2,2,1,4,3,1,1,1,1,1,1,1,2,2,2,4,3,2007,1,5,5,1,1,2,1,5,-1,0,32,1,3,3,1,1,1,2,2,3,3,2,2,41
20161000135,1,2,2,2,2,8,5,2,2,2,1,2,2,2,2,2,1,2,1,2,2,2,2,2,2,3,1,1,1,3,2,2,2,2,2,2,2,2,5,2,2,1,8,2002,1,2,4,1,1,2,4,1,40,12,47,2,7,2,2,2,2,2,3,2,1,8,2,21
20161000143,1,3,2,1,1,0,6,1,1,2,1,1,1,1,2,2,3,1,1,1,1,1,1,1,4,10,1,1,1,4,5,1,2,2,1,1,1,1,3,1,1,1,12,1998,2,2,3,2,5,2,1,6,-1,0,64,1,8,1,2,4,1,0,3,1,2,11,3,42
20161000151,1,3,2,1,2,4,4,3,1,2,1,2,1,1,2,2,3,2,2,1,1,1,1,1,3,4,1,1,1,4,3,1,1,1,1,1,1,1,3,2,2,1,9,2007,1,2,4,6,1,2,5,5,-1,0,31,2,3,1,2,2,2,0,2,1,1,2,4,21
20161000170,1,2,2,2,2,2,3,3,1,2,1,2,2,2,2,1,5,1,1,1,1,1,1,2,1,0,1,2,3,2,1,2,2,2,2,2,1,2,0,2,2,2,10,2000,1,2,3,5,5,2,1,1,40,12,51,1,5,2,2,4,1,0,2,1,1,9,3,32
20161000179,1,3,2,1,2,2,6,1,1,2,2,2,2,2,2,2,1,2,1,1,1,1,1,1,3,1,2,2,1,3,1,2,2,2,2,2,2,1,4,2,2,1,1,2002,2,5,4,1,1,2,1,3,-1,0,43,2,2,3,2,2,2,1,1,3,3,8,4,11
20161000190,2,3,1,1,1,0,6,1,1,1,1,2,1,1,2,2,8,1,1,1,1,1,1,1,4,5,1,1,1,4,4,1,1,1,1,1,2,1,7,1,2,1,12,2010,2,2,4,1,1,2,1,5,-1,0,34,1,10,1,2,1,1,1,4,3,1,K,1,21
20161000230,1,2,1,4,1,8,5,1,1,2,1,1,2,1,2,1,5,1,1,4,3,4,4,2,2,4,3,1,1,4,2,1,2,1,1,1,1,2,3,2,2,1,1,2000,2,2,5,1,1,2,1,1,40,12,34,1,8,1,2,1,1,2,4,1,1,9,3,13
20161000250,1,2,2,1,1,0,6,1,1,2,1,1,1,2,2,2,5,1,1,1,1,1,1,1,4,8,1,1,1,4,1,2,2,2,2,2,1,2,2,2,2,1,10,2002,2,2,4,1,1,2,3,1,40,12,33,2,5,1,2,2,2,0,3,3,1,8,4,11
20161000255,1,3,2,2,2,6,6,2,1,1,1,1,1,1,2,2,6,1,1,2,3,2,2,1,3,6,1,1,1,4,4,1,1,1,1,1,1,1,7,1,1,1,1,2009,2,2,2,2,1,1,3,1,50,12,46,2,8,2,2,3,2,0,3,1,1,1,4,21
20161000272,1,1,2,1,2,3,4,3,1,2,1,2,1,1,2,2,10,2,1,1,1,1,1,1,3,3,1,1,1,4,3,2,1,1,2,1,1,2,4,1,1,1,2,2005,1,2,4,2,1,1,3,1,40,12,31,1,9,2,2,3,1,1,2,1,1,5,3,22
20161000293,1,1,1,2,2,10,6,3,2,2,2,2,2,2,2,2,10,1,1,2,3,2,2,2,3,1,1,2,1,4,2,1,1,2,1,1,1,2,7,1,2,3,8,2007,1,2,4,2,1,1,1,1,40,9,43,1,9,1,2,1,1,1,5,1,1,3,1,41
20161000317,2,3,2,1,1,7,6,3,1,1,1,1,1,1,2,1,12,1,1,1,1,1,1,1,3,5,1,1,1,4,2,2,2,2,2,2,1,1,3,2,2,1,1,2005,2,5,4,2,1,1,4,2,40,12,54,2,10,1,2,3,2,1,3,3,1,5,2,21
20161000354,1,3,1,2,1,2,6,2,1,1,1,1,2,1,1,2,7,1,1,1,1,1,1,1,2,1,1,1,2,4,2,1,1,1,2,2,1,1,7,1,1,1,5,2009,2,2,3,2,1,1,1,1,40,12,47,1,8,1,2,1,1,0,5,1,1,1,3,21
20161000375,1,3,1,2,2,4,4,3,1,2,1,1,1,1,2,2,5,1,1,2,2,1,2,4,3,8,1,2,2,3,2,1,1,1,2,1,2,2,3,2,2,1,11,2002,2,2,4,1,1,2,5,3,-1,3,31,2,2,2,2,2,2,2,1,1,3,7,2,13
20161000414,1,3,2,1,1,1,5,2,1,1,1,2,1,1,2,2,5,2,1,1,1,1,1,1,4,5,1,1,2,4,3,1,1,1,2,1,1,1,5,2,1,1,11,2006,2,2,4,1,1,2,1,1,40,12,38,1,9,1,2,1,1,1,4,1,1,3,1,21
20161000424,1,2,2,2,2,0,6,3,1,2,1,1,1,1,2,2,4,1,1,1,1,1,1,1,4,3,1,1,1,4,4,1,1,2,1,1,1,1,6,2,1,2,10,2009,1,5,2,1,1,2,5,5,-1,0,30,2,1,2,2,2,2,0,1,3,3,K,4,11
20161000425,1,3,1,2,3,5,4,3,1,2,2,2,1,2,2,1,20,1,1,2,1,2,2,2,3,18,1,2,1,3,3,1,2,2,2,2,1,1,2,1,2,2,8,2002,2,2,3,1,1,2,1,1,40,12,39,1,7,1,2,1,1,0,3,1,1,8,3,41
20161000447,1,1,2,2,1,0,6,1,1,1,1,2,1,1,2,2,25,2,1,1,1,1,1,1,4,5,1,1,1,4,2,1,2,2,1,1,1,1,5,2,1,1,12,2002,2,2,3,1,1,2,1,5,-1,6,39,1,10,1,2,1,1,0,5,1,1,7,2,42
20161000465,1,2,2,2,1,2,6,2,1,1,1,1,2,1,2,2,10,1,1,2,2,2,1,2,4,7,1,2,1,3,2,1,2,1,1,1,1,1,7,2,1,2,9,2001,2,2,4,2,1,1,1,1,55,12,44,1,9,1,2,1,1,1,5,1,1,8,2,32
20161000468,1,3,2,1,1,0,6,1,2,2,2,2,2,2,2,2,0,1,1,1,1,1,1,1,2,8,1,1,1,4,2,2,2,2,2,2,1,1,5,1,2,1,6,2000,1,6,4,1,1,2,2,1,40,3,21,2,1,3,2,2,2,2,1,2,1,9,2,13
20161000508,1,3,2,2,5,2,6,2,1,2,2,2,1,2,2,2,2,1,1,2,2,2,2,2,2,1,1,1,2,4,4,1,2,2,2,2,2,2,5,2,2,2,1,2010,1,2,2,1,1,2,5,1,45,12,31,2,3,2,2,2,2,0,3,1,1,K,3,33
20161000514,1,1,2,2,3,11,3,3,2,2,2,2,1,2,2,1,4,1,2,1,1,1,1,1,3,3,1,2,1,4,3,2,1,1,2,1,1,2,7,2,1,2,6,2004,1,2,3,5,5,2,1,7,-1,0,52,1,7,1,1,4,1,0,3,1,3,5,2,42
20161000516,1,3,2,2,5,10,6,2,1,2,2,2,1,1,2,2,2,1,2,1,1,1,1,1,3,5,3,1,1,4,3,1,2,1,1,1,1,1,7,2,2,2,2,2007,1,2,3,1,1,2,1,4,-1,0,39,1,10,1,2,1,1,0,5,1,1,3,4,21
20161000532,1,3,2,1,1,3,5,1,1,1,2,2,1,2,2,2,4,1,1,1,1,1,1,1,2,1,1,1,1,4,2,1,2,2,1,1,2,2,5,2,2,2,12,2009,1,2,4,1,1,2,1,1,40,12,54,1,8,1,2,1,1,1,4,1,1,K,2,32
20161000535,1,2,2,1,2,3,2,2,2,2,1,2,1,1,2,2,2,2,1,4,1,1,3,1,4,5,1,1,1,4,2,2,2,2,1,1,2,2,7,2,2,4,8,2006,1,2,4,5,1,2,5,1,40,12,26,1,3,2,2,2,1,1,3,2,3,4,1,13
20161000562,1,2,1,2,1,2,5,2,1,2,1,2,1,2,2,2,1,2,2,2,2,1,2,2,4,20,2,2,1,4,2,2,2,2,2,2,1,1,3,1,1,1,3,2000,1,2,6,1,1,2,1,1,54,12,38,2,7,1,2,2,2,1,1,4,1,10,4,11
20161000598,2,2,2,1,3,4,6,3,1,2,2,2,2,2,2,1,2,2,1,1,1,1,1,1,3,2,1,1,1,4,3,1,1,2,2,1,1,1,7,1,1,1,4,2010,2,2,4,5,1,2,5,3,-1,0,25,2,1,2,2,2,2,1,2,4,4,K,1,13
20161000642,2,2,2,1,1,0,5,1,1,2,1,2,1,2,2,2,5,1,1,1,1,1,1,1,3,4,1,1,2,3,2,1,1,2,2,1,2,2,3,1,2,1,2,2008,2,2,5,2,1,1,1,1,45,12,45,1,8,1,2,1,1,2,5,3,1,2,3,21
20161000645,1,2,2,2,2,2,4,3,1,2,1,2,1,2,2,1,4,1,1,1,1,1,1,1,3,4,1,1,2,4,2,1,2,1,1,1,2,2,5,1,2,1,10,2005,1,2,4,2,1,1,3,2,50,8,38,2,3,1,2,3,2,1,2,1,1,4,4,33
20161000648,1,2,2,1,3,76,5,3,2,2,1,2,2,2,2,1,4,1,1,1,1,1,1,1,4,21,1,1,1,2,5,1,2,2,2,2,1,1,7,2,2,1,4,1999,2,2,3,1,1,2,1,1,35,12,55,1,9,1,2,1,1,0,4,4,1,12,4,21
20161000673,2,3,2,2,1,0,5,2,1,1,1,2,1,2,2,1,5,1,1,1,1,1,1,1,3,2,1,1,1,1,5,2,1,2,1,2,1,2,6,2,2,1,2,2001,1,6,4,1,1,2,1,5,-1,0,48,1,10,1,2,1,1,1,5,4,1,9,2,11
20161000703,1,2,1,2,4,1,2,4,2,2,1,2,2,2,2,2,1,1,1,2,3,2,2,3,2,1,1,2,1,2,2,2,2,2,2,1,2,2,4,2,2,2,9,2003,1,2,2,1,1,2,3,1,40,12,41,2,4,1,2,2,2,0,3,3,1,7,4,21
20161000710,1,2,2,2,1,2,5,1,1,2,1,1,1,2,2,2,2,1,1,1,2,2,2,3,2,3,1,2,2,2,1,1,2,2,2,1,2,1,0,1,2,2,2,2003,2,2,6,1,1,2,3,1,37,12,43,2,3,2,2,2,2,4,3,1,1,7,3,31
20161000718,1,2,1,2,3,14,2,4,1,2,1,2,2,2,2,1,3,2,1,3,3,2,2,3,4,20,1,1,1,4,2,2,1,2,1,1,1,1,4,2,1,1,11,2002,2,2,2,1,1,2,3,1,43,12,42,2,4,2,2,2,2,0,3,3,1,7,3,11
20161000729,1,3,1,3,2,0,4,3,1,2,1,1,1,1,2,2,5,2,1,2,1,3,2,1,3,7,1,1,2,3,2,2,2,2,2,2,2,2,7,1,1,3,8,2003,1,2,3,1,1,2,1,4,-1,6,47,1,2,2,2,1,1,0,3,2,3,7,2,11
20161000737,1,1,1,1,1,5,5,1,1,2,1,2,2,2,2,1,3,2,1,2,2,2,2,1,3,4,2,2,2,4,3,1,2,2,1,1,1,1,1,2,2,2,7,1998,2,4,6,8,1,2,1,3,-1,2,47,1,2,2,2,1,1,3,1,2,1,2,3,11
20161000738,1,3,2,2,5,3,4,3,2,1,1,2,1,1,2,2,4,2,1,1,2,1,1,2,2,2,1,1,1,4,4,2,2,2,2,1,1,2,7,2,2,1,1,2007,1,2,5,1,1,2,1,1,40,12,37,1,9,1,2,1,1,2,3,1,1,3,3,31
20161000741,1,2,2,2,5,2,6,3,2,2,1,2,1,2,2,2,2,2,1,2,1,1,1,1,4,5,1,2,2,4,4,2,1,1,2,1,2,2,5,2,2,2,8,2007,2,3,4,9,1,2,1,1,40,12,47,1,2,2,2,1,1,1,1,3,1,3,1,22
20161000750,1,3,2,2,3,0,4,4,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,1,2,3,3,3,2,5,2,2,2,2,2,2,2,2,2,2,2,2,2004,1,6,2,1,1,2,4,1,40,12,28,2,2,1,2,2,2,0,1,2,4,5,1,11
20161000768,1,2,2,3,4,3,3,4,1,1,1,1,1,1,2,1,10,1,1,1,1,3,1,1,4,10,1,2,1,4,4,1,1,1,1,2,1,1,7,1,1,1,11,2006,2,2,4,1,2,2,1,7,-1,0,53,1,3,1,1,1,1,1,3,1,1,3,2,23
20161000776,2,2,2,1,1,2,6,1,1,1,1,2,1,1,2,1,6,1,1,1,1,1,2,1,2,2,1,1,2,3,2,2,1,2,1,1,1,2,2,2,2,1,10,2005,2,2,4,1,1,2,1,1,36,12,39,1,8,1,2,1,1,0,3,1,1,4,3,31
20161000782,2,2,2,2,1,5,4,3,1,2,2,2,2,2,2,2,5,1,2,1,2,2,2,2,1,2,1,1,1,4,1,1,1,2,2,1,2,2,5,2,2,2,1,2009,1,6,5,1,1,2,1,5,-1,1,26,1,6,1,2,1,1,2,1,1,4,1,1,42
20161000798,1,3,2,2,3,1,4,2,1,2,1,2,2,1,2,1,5,1,1,2,2,2,2,2,3,2,1,1,1,3,1,1,2,1,2,1,1,1,3,1,1,1,2,2003,2,2,2,2,1,1,5,1,50,12,62,2,8,2,2,3,2,0,3,3,1,7,2,11
20161000814,1,3,1,2,1,8,4,1,2,2,2,2,1,2,2,2,2,2,2,4,3,4,4,2,4,5,1,1,2,4,5,2,1,1,2,1,1,1,7,1,2,2,1,2003,1,6,3,1,1,2,4,5,-1,0,43,2,1,2,2,2,2,1,1,3,1,7,3,11
20161000818,1,2,2,3,3,11,4,3,1,2,1,2,2,1,2,2,5,2,1,2,2,2,2,3,1,1,2,2,2,3,1,2,2,2,2,2,1,2,5,2,2,3,2,1998,1,2,4,1,1,2,1,1,35,12,51,1,5,1,2,1,1,1,3,1,1,12,2,21
20161000830,1,2,1,3,1,14,5,1,1,2,2,2,2,1,2,1,6,2,1,3,1,2,3,3,4,5,1,1,1,4,1,2,1,1,1,1,1,1,7,2,2,1,2,2002,1,2,3,1,1,2,1,1,42,12,41,1,5,3,2,1,1,0,3,1,1,8,1,21
20161000849,1,2,2,1,1,7,6,2,1,2,1,1,1,1,2,2,4,2,1,2,2,2,2,2,4,10,3,1,1,4,3,2,2,2,2,1,1,2,6,1,2,2,9,2005,2,2,7,1,1,2,1,1,50,10,41,1,10,1,2,1,1,1,5,4,1,5,4,11
20161000851,1,2,2,3,4,3,2,3,2,2,2,2,2,2,2,2,0,2,2,3,2,2,2,2,1,2,3,1,1,2,5,2,2,2,2,2,1,2,5,2,2,2,7,2000,1,2,7,1,1,2,5,3,-1,0,34,2,8,1,2,2,2,3,1,1,2,10,2,11
